StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q4_10_TEXT,Q5,Q6,Q6_4_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_6_TEXT,Q8,ci,e
NA,NA,Response Type,IP Address,NA,NA,Finished,NA,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,NA,NA,Distribution Channel,User Language,How often do you order food delivery?,How many food delivery apps do you have installed on your phone?,Which of the following are reasons why you order food delivery? Select all that apply. - I'm ordering for a group,Which of the following are reasons why you order food delivery? Select all that apply. - I don't want to cook,Which of the following are reasons why you order food delivery? Select all that apply. - I want a specific meal or item,Which of the following are reasons why you order food delivery? Select all that apply. - I don't have any groceries,Which of the following are reasons why you order food delivery? Select all that apply. - I don't have the time to cook,Which of the following are reasons why you order food delivery? Select all that apply. - Other:,Which of the following best describes your most recent food delivery cuisine? - Selected Choice,Which of the following best describes your most recent food delivery cuisine? - Other - Text,How satisfied or dissatisfied are you with your most recent food delivery order?,How did you complete your most recent food delivery order? - Selected Choice,How did you complete your most recent food delivery order? - Other: - Text,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Delivery time,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Food temperature,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Delivery price,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Food packaging,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Courier service,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Other:,How could your most recent food delivery experience been improved? Select all that apply. - Other: - Text,Please provide any additional feedback on food delivery,NA,MarindaWunsch@me.com
NA,NA,"{""ImportId"":""status""}","{""ImportId"":""ipAddress""}",NA,NA,"{""ImportId"":""finished""}",NA,"{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7"",""choiceId"":""1""}","{""ImportId"":""QID7"",""choiceId"":""2""}","{""ImportId"":""QID7"",""choiceId"":""3""}","{""ImportId"":""QID7"",""choiceId"":""4""}","{""ImportId"":""QID7"",""choiceId"":""5""}","{""ImportId"":""QID7"",""choiceId"":""6""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_10_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_4_TEXT""}","{""ImportId"":""QID3"",""choiceId"":""1""}","{""ImportId"":""QID3"",""choiceId"":""2""}","{""ImportId"":""QID3"",""choiceId"":""3""}","{""ImportId"":""QID3"",""choiceId"":""4""}","{""ImportId"":""QID3"",""choiceId"":""5""}","{""ImportId"":""QID3"",""choiceId"":""6""}","{""ImportId"":""QID3_6_TEXT""}","{""ImportId"":""QID8_TEXT""}",NA,MarindaWunsch@me.com
2019-08-22T16:07:06Z,2019-08-22T18:30:06Z,IP Address,NA,100,1,True,2019-08-22T16:07:07Z,R_9zvoQDsmu20z1Qh,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,2-6 times a week,3,I'm ordering for a group,NA,I want a specific meal or item,NA,NA,NA,Mexican,NA,Somewhat satisfied,Web browser on desktop or laptop,NA,NA,NA,Delivery price,NA,NA,NA,"Consequat! Suspendisse vulputate sit, proin proin! Orci vitae aliquam elit.",Orci nibh etiam? Nonummy urna donec wisi. Tempora elit magnis.,12,MarindaWunsch@me.com
2019-08-22T16:07:07Z,2019-08-23T00:12:07Z,IP Address,NA,100,0,True,2019-08-22T16:07:07Z,R_e4p8ny0sH082eyN,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,2-3 times a month,1,NA,NA,NA,NA,NA,NA,Burgers,"Atque venenatis sodales, viverra venenatis rhoncus fusce eros consequat nibh interdum. Vivamus. Rhoncus.",Somewhat dissatisfied,Mobile app on smartphone,NA,Delivery time,NA,NA,NA,NA,NA,NA,Dapibus per justo. Natoque eros elit vestibulum augue vivamus ut? Nonummy.,5,MarindaWunsch@me.com
2019-08-22T16:07:07Z,2019-08-22T20:13:07Z,IP Address,NA,100,0,True,2019-08-22T16:07:07Z,R_bPZv2lmt6jcn4O1,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a week,2,I'm ordering for a group,NA,NA,NA,I don't have the time to cook,Other:,Pizza,NA,Somewhat satisfied,Mobile app on smartphone,NA,Delivery time,NA,Delivery price,NA,Courier service,NA,Vehicula commodo fermentum phasellus primis massa mauris tempora eu sit.,"Etiam! Tempus ultricies, venenatis rutrum rutrum auctor! Arcu nonummy viverra, justo elementum per.",12,MarindaWunsch@me.com
2019-08-22T16:07:07Z,2019-08-22T16:55:07Z,IP Address,NA,100,0,True,2019-08-22T16:07:07Z,R_6FpqxxCv1RLNXTf,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a month or less,0,I'm ordering for a group,I don't want to cook,NA,NA,NA,NA,Indian,Bibendum faucibus fusce leo amet facilisi montes fermentum dui! Vitae commodo? Aenean leo.,Somewhat dissatisfied,Mobile app on smartphone,Laoreet eu magnis fermentum atque? Felis porta vel curabitur. Convallis turpis.,NA,NA,NA,NA,NA,Other:,NA,Montes sagittis vitae sapien bibendum non nibh consequat. Sollicitudin! Bibendum potenti.,1,MarindaWunsch@me.com
2019-08-22T16:07:08Z,2019-08-22T19:01:08Z,IP Address,NA,100,0,True,2019-08-22T16:07:08Z,R_8oUiruxuVS0xYTr,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a week,2,I'm ordering for a group,I don't want to cook,I want a specific meal or item,I don't have any groceries,I don't have the time to cook,NA,Burgers,NA,Neither satisfied nor dissatisfied,Mobile app on smartphone,"Orci tortor augue mi? Volutpat mi ultrices ipsum atque lacus rutrum a, felis.",NA,NA,Delivery price,Food packaging,NA,NA,NA,Quis montes vitae volutpat arcu dictumst potenti vestibulum malesuada gravida facilisi nonummy.,12,MarindaWunsch@me.com
2019-08-23T11:49:22Z,2019-08-23T17:16:22Z,Survey Test,NA,100,0,True,2019-08-23T11:49:23Z,R_3gGaQ3x0EV9LkiN,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,2-6 times a week,3,NA,NA,NA,NA,I don't have the time to cook,NA,Burgers,NA,Somewhat dissatisfied,Mobile app on smartphone,NA,NA,NA,NA,NA,NA,NA,Vitae urna cras risus. Fermentum. Lectus. Nunc faucibus etiam aliquet sed purus fermentum.,"Egestas. Arcu faucibus ipsum eros. Lacus consectetuer dignissim praesent, nullam fusce sollicitudin cras.",1,MarindaWunsch@me.com
2019-08-23T11:49:23Z,2019-08-23T19:57:23Z,IP Address,NA,100,0,True,2019-08-23T11:49:23Z,R_0r1ZiWcHSIrJpnn,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,2-6 times a week,3,NA,I don't want to cook,NA,NA,I don't have the time to cook,NA,Indian,NA,Somewhat satisfied,Mobile app on smartphone,NA,NA,NA,Delivery price,NA,NA,NA,NA,"Cursus id, lectus. Platea viverra nullam convallis risus erat, ac ridiculus amet pellentesque nibh.",5,NeilAuerPhD@me.com
2019-08-23T11:49:23Z,2019-08-23T13:27:23Z,IP Address,NA,100,0,True,2019-08-23T11:49:23Z,R_eFOpdvZ3c60pfvv,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a month or less,0,I'm ordering for a group,I don't want to cook,NA,NA,I don't have the time to cook,NA,Pizza,NA,Somewhat satisfied,Web browser on desktop or laptop,NA,NA,NA,Delivery price,NA,NA,NA,NA,Egestas atque mauris temporibus augue interdum. Sapien tempor leo erat non.,6,NeilAuerPhD@me.com
