StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q4_10_TEXT,Q5,Q6,Q6_4_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_6_TEXT,Q8,ci,e
NA,NA,Response Type,IP Address,NA,NA,Finished,NA,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,NA,NA,Distribution Channel,User Language,How often do you order food delivery?,How many food delivery apps do you have installed on your phone?,Which of the following are reasons why you order food delivery? Select all that apply. - I'm ordering for a group,Which of the following are reasons why you order food delivery? Select all that apply. - I don't want to cook,Which of the following are reasons why you order food delivery? Select all that apply. - I want a specific meal or item,Which of the following are reasons why you order food delivery? Select all that apply. - I don't have any groceries,Which of the following are reasons why you order food delivery? Select all that apply. - I don't have the time to cook,Which of the following are reasons why you order food delivery? Select all that apply. - Other:,Which of the following best describes your most recent food delivery cuisine? - Selected Choice,Which of the following best describes your most recent food delivery cuisine? - Other - Text,How satisfied or dissatisfied are you with your most recent food delivery order?,How did you complete your most recent food delivery order? - Selected Choice,How did you complete your most recent food delivery order? - Other: - Text,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Delivery time,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Food temperature,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Delivery price,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Food packaging,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Courier service,How could your most recent food delivery experience been improved? Select all that apply. - Selected Choice - Other:,How could your most recent food delivery experience been improved? Select all that apply. - Other: - Text,Please provide any additional feedback on food delivery,NA,AshantiMcGlynnDDS@gmail.com
NA,NA,"{""ImportId"":""status""}","{""ImportId"":""ipAddress""}",NA,NA,"{""ImportId"":""finished""}",NA,"{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7"",""choiceId"":""1""}","{""ImportId"":""QID7"",""choiceId"":""2""}","{""ImportId"":""QID7"",""choiceId"":""3""}","{""ImportId"":""QID7"",""choiceId"":""4""}","{""ImportId"":""QID7"",""choiceId"":""5""}","{""ImportId"":""QID7"",""choiceId"":""6""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_10_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_4_TEXT""}","{""ImportId"":""QID3"",""choiceId"":""1""}","{""ImportId"":""QID3"",""choiceId"":""2""}","{""ImportId"":""QID3"",""choiceId"":""3""}","{""ImportId"":""QID3"",""choiceId"":""4""}","{""ImportId"":""QID3"",""choiceId"":""5""}","{""ImportId"":""QID3"",""choiceId"":""6""}","{""ImportId"":""QID3_6_TEXT""}","{""ImportId"":""QID8_TEXT""}",NA,AshantiMcGlynnDDS@gmail.com
2019-08-22T16:07:06Z,2019-08-22T21:04:06Z,IP Address,NA,100,1,True,2019-08-22T16:07:07Z,R_9zvoQDsmu20z1Qh,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,2-6 times a week,3,I'm ordering for a group,NA,NA,NA,I don't have the time to cook,NA,Burgers,NA,Somewhat satisfied,Mobile app on smartphone,NA,Delivery time,NA,Delivery price,NA,NA,NA,"Consequat! Suspendisse vulputate sit, proin proin! Orci vitae aliquam elit.",Orci nibh etiam? Nonummy urna donec wisi. Tempora elit magnis.,1,AshantiMcGlynnDDS@gmail.com
2019-08-22T16:07:07Z,2019-08-22T23:54:07Z,IP Address,NA,100,0,True,2019-08-22T16:07:07Z,R_e4p8ny0sH082eyN,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a month or less,0,NA,NA,NA,NA,I don't have the time to cook,NA,Other,"Atque venenatis sodales, viverra venenatis rhoncus fusce eros consequat nibh interdum. Vivamus. Rhoncus.",Somewhat satisfied,Mobile app on smartphone,NA,Delivery time,NA,Delivery price,NA,NA,NA,NA,Dapibus per justo. Natoque eros elit vestibulum augue vivamus ut? Nonummy.,5,AshantiMcGlynnDDS@gmail.com
2019-08-22T16:07:07Z,2019-08-22T23:23:07Z,IP Address,NA,100,0,True,2019-08-22T16:07:07Z,R_bPZv2lmt6jcn4O1,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a month or less,0,NA,NA,NA,NA,I don't have the time to cook,NA,Burgers,NA,Extremely dissatisfied,Web browser on desktop or laptop,NA,NA,NA,Delivery price,Food packaging,NA,NA,Vehicula commodo fermentum phasellus primis massa mauris tempora eu sit.,"Etiam! Tempus ultricies, venenatis rutrum rutrum auctor! Arcu nonummy viverra, justo elementum per.",1,AshantiMcGlynnDDS@gmail.com
2019-08-22T16:07:07Z,2019-08-22T17:28:07Z,IP Address,NA,100,0,True,2019-08-22T16:07:07Z,R_6FpqxxCv1RLNXTf,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a week,2,NA,NA,NA,NA,I don't have the time to cook,NA,Pizza,Bibendum faucibus fusce leo amet facilisi montes fermentum dui! Vitae commodo? Aenean leo.,Somewhat satisfied,NA,Laoreet eu magnis fermentum atque? Felis porta vel curabitur. Convallis turpis.,NA,NA,Delivery price,NA,NA,NA,NA,Montes sagittis vitae sapien bibendum non nibh consequat. Sollicitudin! Bibendum potenti.,24,AshantiMcGlynnDDS@gmail.com
2019-08-22T16:07:08Z,2019-08-22T23:56:08Z,IP Address,NA,100,0,True,2019-08-22T16:07:08Z,R_8oUiruxuVS0xYTr,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a week,2,I'm ordering for a group,NA,NA,NA,NA,NA,Pizza,NA,Neither satisfied nor dissatisfied,Web browser on desktop or laptop,"Orci tortor augue mi? Volutpat mi ultrices ipsum atque lacus rutrum a, felis.",NA,Food temperature,Delivery price,NA,NA,NA,NA,Quis montes vitae volutpat arcu dictumst potenti vestibulum malesuada gravida facilisi nonummy.,5,AshantiMcGlynnDDS@gmail.com
2019-08-23T11:49:22Z,2019-08-23T20:05:22Z,IP Address,NA,100,0,True,2019-08-23T11:49:23Z,R_3gGaQ3x0EV9LkiN,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,Once a month or less,0,I'm ordering for a group,NA,NA,NA,I don't have the time to cook,NA,Chinese,NA,Extremely dissatisfied,Mobile app on smartphone,NA,NA,NA,Delivery price,NA,NA,Other:,Vitae urna cras risus. Fermentum. Lectus. Nunc faucibus etiam aliquet sed purus fermentum.,"Egestas. Arcu faucibus ipsum eros. Lacus consectetuer dignissim praesent, nullam fusce sollicitudin cras.",5,AshantiMcGlynnDDS@gmail.com
2019-08-23T11:49:23Z,2019-08-23T16:45:23Z,IP Address,NA,100,0,True,2019-08-23T11:49:23Z,R_0r1ZiWcHSIrJpnn,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,2-3 times a month,1,I'm ordering for a group,NA,NA,NA,NA,NA,Burgers,NA,Somewhat satisfied,Phone call,NA,NA,NA,Delivery price,NA,NA,NA,NA,"Cursus id, lectus. Platea viverra nullam convallis risus erat, ac ridiculus amet pellentesque nibh.",14,ClaireWillms-Greenholt@yahoo.com
2019-08-23T11:49:23Z,2019-08-23T14:26:23Z,IP Address,NA,100,0,True,2019-08-23T11:49:23Z,R_eFOpdvZ3c60pfvv,NA,NA,NA,NA,37.777099609375,-122.40599822998047,test,NA,2-6 times a week,3,NA,NA,NA,I don't have any groceries,NA,NA,Burgers,NA,Somewhat satisfied,Other:,NA,Delivery time,NA,Delivery price,NA,NA,Other:,NA,Egestas atque mauris temporibus augue interdum. Sapien tempor leo erat non.,6,ClaireWillms-Greenholt@yahoo.com
